"agent","p_model","subject","model","competence_structure","scenario"
"Xb",0.5,402,"Exploitation",3,1
"Yb",0.5,402,"Exploitation",3,1
"Xa",0.5,402,"Exploitation",3,2
"Ya",0.5,402,"Exploitation",3,2
"Xb",0.5,402,"Exploitation",3,2
"Yb",0.5,402,"Exploitation",3,2
"Xa",0.5,402,"Exploitation",3,3
"Ya",0.5,402,"Exploitation",3,3
"Xb",0.5,402,"Exploitation",3,3
"Yb",0.5,402,"Exploitation",3,3
"Xa",0.5,402,"General",1,1
"Ya",0.5,402,"General",1,1
"Xb",0.5,402,"General",1,1
"Yb",0.5,402,"General",1,1
"Xa",0.5,402,"General",1,2
"Ya",0.5,402,"General",1,2
"Xb",0.5,402,"General",1,2
"Yb",0.5,402,"General",1,2
"Xa",0.5,402,"General",1,3
"Ya",0.5,402,"General",1,3
"Xb",0.5,402,"General",1,3
"Yb",0.5,402,"General",1,3
"Xa",0.5,402,"General",2,1
"Ya",0.5,402,"General",2,1
"Xb",0.5,402,"General",2,1
"Yb",0.5,402,"General",2,1
"Xa",0.5,402,"General",2,2
"Ya",0.5,402,"General",2,2
"Xb",0.5,402,"General",2,2
"Yb",0.5,402,"General",2,2
"Xa",0.5,402,"General",2,3
"Ya",0.5,402,"General",2,3
"Xb",0.5,402,"General",2,3
"Yb",0.5,402,"General",2,3
"Xa",0.5,402,"General",3,1
"Ya",0.5,402,"General",3,1
"Xb",0.5,402,"General",3,1
"Yb",0.5,402,"General",3,1
"Xa",0.5,402,"General",3,2
"Ya",0.5,402,"General",3,2
"Xb",0.5,402,"General",3,2
"Yb",0.5,402,"General",3,2
"Xa",0.5,402,"General",3,3
"Ya",0.5,402,"General",3,3
"Xb",0.5,402,"General",3,3
"Yb",0.5,402,"General",3,3
"Xa",0.997198118258088,402,"Learning",1,1
"Ya",0.00280188174191198,402,"Learning",1,1
"Xb",0.999477103616655,402,"Learning",1,1
"Yb",0.00052289638334454,402,"Learning",1,1
"Xa",0.999929646752586,402,"Learning",1,2
"Ya",7.03532474141465e-05,402,"Learning",1,2
"Xb",0.999987178092627,402,"Learning",1,2
"Yb",1.28219073731591e-05,402,"Learning",1,2
"Xa",0.999477103616655,402,"Learning",1,3
"Ya",0.00052289638334454,402,"Learning",1,3
"Xb",0.999973454880635,402,"Learning",1,3
"Yb",2.65451193647258e-05,402,"Learning",1,3
"Xa",0.5,402,"Learning",2,1
"Ya",0.5,402,"Learning",2,1
"Xb",0.997198118258088,402,"Learning",2,1
"Yb",0.00280188174191198,402,"Learning",2,1
"Xa",0.5,402,"Learning",2,2
"Ya",0.5,402,"Learning",2,2
"Xb",0.999929646752586,402,"Learning",2,2
"Yb",7.03532474141465e-05,402,"Learning",2,2
"Xa",0.5,402,"Learning",2,3
"Ya",0.5,402,"Learning",2,3
"Xb",0.999477103616655,402,"Learning",2,3
"Yb",0.00052289638334454,402,"Learning",2,3
"Xa",0.997198118258088,402,"Learning",3,1
"Ya",0.00280188174191198,402,"Learning",3,1
"Xb",0.00052289638334454,402,"Learning",3,1
"Yb",0.999477103616655,402,"Learning",3,1
"Xa",0.881932239355812,402,"Learning",3,2
"Ya",0.118067760644188,402,"Learning",3,2
"Xb",1.28219073731591e-05,402,"Learning",3,2
"Yb",0.999987178092627,402,"Learning",3,2
"Xa",0.881932239355812,402,"Learning",3,3
"Ya",0.118067760644188,402,"Learning",3,3
"Xb",0.00074996248197851,402,"Learning",3,3
"Yb",0.999250037518021,402,"Learning",3,3
"Xa",0.932180280229945,402,"Planning",1,1
"Xb",0.0678197197700552,402,"Planning",1,1
"Ya",0.0678197197700552,402,"Planning",1,1
"Yb",0.932180280229945,402,"Planning",1,1
"Xa",0.932180280229945,402,"Planning",1,2
"Xb",0.0678197197700552,402,"Planning",1,2
"Ya",0.0678197197700552,402,"Planning",1,2
"Yb",0.932180280229945,402,"Planning",1,2
"Xa",0.722300661009636,402,"Planning",1,3
"Xb",0.277699338990364,402,"Planning",1,3
"Ya",0.277699338990364,402,"Planning",1,3
"Yb",0.722300661009636,402,"Planning",1,3
"Xa",0.437819776960725,402,"Planning",2,1
"Xb",0.562180223039275,402,"Planning",2,1
"Ya",0.562180223039275,402,"Planning",2,1
"Yb",0.437819776960725,402,"Planning",2,1
"Xa",0.437819776960725,402,"Planning",2,2
"Xb",0.562180223039275,402,"Planning",2,2
"Ya",0.562180223039275,402,"Planning",2,2
"Yb",0.437819776960725,402,"Planning",2,2
"Xa",0.471645848430458,402,"Planning",2,3
"Xb",0.528354151569542,402,"Planning",2,3
"Ya",0.528354151569542,402,"Planning",2,3
"Yb",0.471645848430458,402,"Planning",2,3
"Xa",0.999569723323416,402,"Planning",3,1
"Xb",0.00043027667658451,402,"Planning",3,1
"Ya",0.00043027667658451,402,"Planning",3,1
"Yb",0.999569723323416,402,"Planning",3,1
"Xa",0.932180280229945,402,"Planning",3,2
"Xb",0.0678197197700552,402,"Planning",3,2
"Ya",0.0678197197700552,402,"Planning",3,2
"Yb",0.932180280229945,402,"Planning",3,2
"Xa",0.932180280229945,402,"Planning",3,3
"Xb",0.0678197197700552,402,"Planning",3,3
"Ya",0.0678197197700552,402,"Planning",3,3
"Yb",0.932180280229945,402,"Planning",3,3
"Xa",0.5,403,"Equality",1,1
"Xb",0.5,403,"Equality",1,1
"Ya",0.5,403,"Equality",1,1
"Yb",0.5,403,"Equality",1,1
"Xa",0.5,403,"Equality",1,2
"Xb",0.5,403,"Equality",1,2
"Ya",0.5,403,"Equality",1,2
"Yb",0.5,403,"Equality",1,2
"Xa",0.5,403,"Equality",1,3
"Xb",0.5,403,"Equality",1,3
"Ya",0.5,403,"Equality",1,3
"Yb",0.5,403,"Equality",1,3
"Xa",0.5,403,"Equality",2,1
"Xb",0.5,403,"Equality",2,1
"Ya",0.5,403,"Equality",2,1
"Yb",0.5,403,"Equality",2,1
"Xa",0.5,403,"Equality",2,2
"Xb",0.5,403,"Equality",2,2
"Ya",0.5,403,"Equality",2,2
"Yb",0.5,403,"Equality",2,2
"Xa",0.5,403,"Equality",2,3
"Xb",0.5,403,"Equality",2,3
"Ya",0.5,403,"Equality",2,3
"Yb",0.5,403,"Equality",2,3
"Xa",0.5,403,"Equality",3,1
"Xb",0.5,403,"Equality",3,1
"Ya",0.5,403,"Equality",3,1
"Yb",0.5,403,"Equality",3,1
"Xa",0.5,403,"Equality",3,2
"Xb",0.5,403,"Equality",3,2
"Ya",0.5,403,"Equality",3,2
"Yb",0.5,403,"Equality",3,2
"Xa",0.5,403,"Equality",3,3
"Xb",0.5,403,"Equality",3,3
"Ya",0.5,403,"Equality",3,3
"Yb",0.5,403,"Equality",3,3
"Xa",3.33956517330579e-07,403,"Equity",1,1
"Ya",0.999999666043483,403,"Equity",1,1
"Xb",2.23579510915697e-09,403,"Equity",1,1
"Yb",0.999999997764205,403,"Equity",1,1
"Xa",1.61172699431612e-11,403,"Equity",1,2
"Ya",0.999999999983883,403,"Equity",1,2
"Xb",1.07887601906103e-13,403,"Equity",1,2
"Yb",0.999999999999892,403,"Equity",1,2
"Xa",2.23579510915697e-09,403,"Equity",1,3
"Ya",0.999999997764205,403,"Equity",1,3
"Xb",7.29166276498784e-13,403,"Equity",1,3
"Yb",0.999999999999271,403,"Equity",1,3
"Xa",0.5,403,"Equity",2,1
"Ya",0.5,403,"Equity",2,1
"Xb",3.33956517330579e-07,403,"Equity",2,1
"Yb",0.999999666043483,403,"Equity",2,1
"Xa",0.5,403,"Equity",2,2
"Ya",0.500000000000001,403,"Equity",2,2
"Xb",1.61172699431612e-11,403,"Equity",2,2
"Yb",0.999999999983883,403,"Equity",2,2
"Xa",0.5,403,"Equity",2,3
"Ya",0.5,403,"Equity",2,3
"Xb",2.23579510915697e-09,403,"Equity",2,3
"Yb",0.999999997764205,403,"Equity",2,3
"Xa",3.33956517330579e-07,403,"Equity",3,1
"Ya",0.999999666043483,403,"Equity",3,1
"Xb",0.999999997764205,403,"Equity",3,1
"Yb",2.23579510915697e-09,403,"Equity",3,1
"Xa",0.00850303516610826,403,"Equity",3,2
"Ya",0.991496964833892,403,"Equity",3,2
"Xb",0.999999999999892,403,"Equity",3,2
"Yb",1.07887601906103e-13,403,"Equity",3,2
"Xa",0.00850303516610826,403,"Equity",3,3
"Ya",0.991496964833892,403,"Equity",3,3
"Xb",0.99999999023329,403,"Equity",3,3
"Yb",9.76671003132291e-09,403,"Equity",3,3
"Xa",0.5,403,"Exploitation",1,1
"Ya",0.5,403,"Exploitation",1,1
"Xb",0.5,403,"Exploitation",1,1
"Yb",0.5,403,"Exploitation",1,1
"Xa",0.5,403,"Exploitation",1,2
"Ya",0.5,403,"Exploitation",1,2
"Xb",0.5,403,"Exploitation",1,2
"Yb",0.5,403,"Exploitation",1,2
"Xa",0.5,403,"Exploitation",1,3
"Ya",0.5,403,"Exploitation",1,3
"Xb",0.5,403,"Exploitation",1,3
"Yb",0.5,403,"Exploitation",1,3
"Xa",0.5,403,"Exploitation",2,1
"Ya",0.5,403,"Exploitation",2,1
"Xb",0.5,403,"Exploitation",2,1
"Yb",0.5,403,"Exploitation",2,1
"Xa",0.5,403,"Exploitation",2,2
"Ya",0.5,403,"Exploitation",2,2
"Xb",0.5,403,"Exploitation",2,2
"Yb",0.5,403,"Exploitation",2,2
"Xa",0.5,403,"Exploitation",2,3
"Ya",0.5,403,"Exploitation",2,3
"Xb",0.5,403,"Exploitation",2,3
"Yb",0.5,403,"Exploitation",2,3
"Xa",0.5,403,"Exploitation",3,1
"Ya",0.5,403,"Exploitation",3,1
"Xb",0.5,403,"Exploitation",3,1
"Yb",0.5,403,"Exploitation",3,1
"Xa",0.5,403,"Exploitation",3,2
"Ya",0.5,403,"Exploitation",3,2
"Xb",0.5,403,"Exploitation",3,2
"Yb",0.5,403,"Exploitation",3,2
"Xa",0.5,403,"Exploitation",3,3
"Ya",0.5,403,"Exploitation",3,3
"Xb",0.5,403,"Exploitation",3,3
"Yb",0.5,403,"Exploitation",3,3
"Xa",0.727797959287463,403,"General",1,1
"Ya",0.272202040712537,403,"General",1,1
"Xb",0.272202040712537,403,"General",1,1
"Yb",0.727797959287463,403,"General",1,1
"Xa",0.736776352623641,403,"General",1,2
"Ya",0.263223647376359,403,"General",1,2
"Xb",0.263223647376359,403,"General",1,2
"Yb",0.736776352623641,403,"General",1,2
"Xa",0.874162546449515,403,"General",1,3
"Ya",0.125837453550485,403,"General",1,3
"Xb",0.125837453550485,403,"General",1,3
"Yb",0.874162546449515,403,"General",1,3
