"subject","model","beta","log_likelihood"
458,"General",0,-56.1449216253556
458,"Learning",1,-55.2503731994091
458,"Planning",10,-15.855991320922
459,"Equality",0,-56.1449216253556
459,"Equity",1,-52.4694772611993
459,"Exploitation",0,-56.1449216253556
459,"General",0,-56.1449216253556
459,"Learning",0,-56.1449216253556
459,"Planning",0,-56.1449216253556
460,"Equality",0,-56.1449216253556
460,"Equity",3,-39.8906287894951
460,"Exploitation",0,-56.1449216253556
460,"General",0,-56.1449216253556
460,"Learning",1,-54.8903731994091
460,"Planning",4.5,-42.0068816082792
461,"Equality",0,-56.1449216253556
461,"Equity",3,-38.9606287894951
461,"Exploitation",0,-56.1449216253556
461,"General",0,-56.1449216253556
461,"Learning",1.5,-52.9940487456891
461,"Planning",9.5,-18.0712939503424
462,"Equality",0,-56.1449216253556
462,"Equity",1.5,-48.3426792690678
462,"Exploitation",0,-56.1449216253556
462,"General",0.5,-55.8134814073075
462,"Learning",2.5,-48.47236356987
462,"Planning",4.5,-41.6018816082792
463,"Equality",0,-56.1449216253556
463,"Equity",2.5,-44.2801326341326
463,"Exploitation",0,-56.1449216253556
463,"General",0,-56.1449216253556
463,"Learning",1.5,-52.9940487456891
463,"Planning",10,-15.955991320922
464,"Equality",0,-56.1449216253556
464,"Equity",3,-40.8506287894951
464,"Exploitation",0,-56.1449216253556
464,"General",0,-56.1449216253556
464,"Learning",1,-54.0503731994091
464,"Planning",9,-20.2457726502541
465,"Equality",0,-56.1449216253556
465,"Equity",2,-46.0940675263042
465,"Exploitation",0,-56.1449216253556
465,"General",0,-56.1449216253556
465,"Learning",1.5,-53.3690487456891
465,"Planning",9,-18.9857726502541
466,"Equality",0,-56.1449216253556
466,"Equity",0.5,-55.764040274033
466,"Exploitation",0,-56.1449216253556
466,"General",0.5,-56.1084814073075
466,"Learning",1,-55.3203731994091
466,"Planning",0.5,-55.8365901523299
467,"Equality",0,-56.1449216253556
467,"Equity",1.5,-49.6176792690678
467,"Exploitation",0,-56.1449216253556
467,"General",0,-56.1449216253556
467,"Learning",1,-54.8203731994091
467,"Planning",6,-33.1616191190739
468,"Equality",0,-56.1449216253556
468,"Equity",3,-40.8206287894951
468,"Exploitation",0,-56.1449216253556
468,"General",0,-56.1449216253556
468,"Learning",1,-53.8803731994091
468,"Planning",10,-12.155991320922
469,"Equality",0,-56.1449216253556
469,"Equity",2.5,-43.8051326341326
469,"Exploitation",0,-56.1449216253556
469,"General",0,-56.1449216253556
469,"Learning",2,-51.4799175518355
469,"Planning",6,-34.1216191190739
470,"Equality",0,-56.1449216253556
470,"Equity",2.5,-41.2301326341326
470,"Exploitation",0,-56.1449216253556
470,"General",0,-56.1449216253556
470,"Learning",1,-54.0403731994091
470,"Planning",10,-3.75599132092199
471,"Equality",0,-56.1449216253556
471,"Equity",1.5,-48.9876792690679
471,"Exploitation",0,-56.1449216253556
471,"General",0.5,-55.1184814073075
471,"Learning",1.5,-52.0340487456891
471,"Planning",0,-56.1449216253556
472,"Equality",0,-56.1449216253556
472,"Equity",1,-54.3694772611993
472,"Exploitation",0.5,-55.5788136516197
472,"General",1.5,-48.3398992294971
472,"Learning",3.5,-42.8948061717322
472,"Planning",1.5,-54.9287149422812
473,"Equality",0,-56.1449216253556
473,"Equity",2.5,-41.2301326341326
473,"Exploitation",0,-56.1449216253556
473,"General",0,-56.1449216253556
473,"Learning",1,-54.0403731994091
473,"Planning",10,-3.75599132092199
474,"Equality",0,-56.1449216253556
474,"Equity",2,-44.5740675263042
474,"Exploitation",0,-56.1449216253556
474,"General",0,-56.1449216253556
474,"Learning",1.5,-53.1890487456891
474,"Planning",10,-7.25599132092199
475,"Equality",0,-56.1449216253556
475,"Equity",3,-40.1006287894952
475,"Exploitation",0,-56.1449216253556
475,"General",0,-56.1449216253556
475,"Learning",2,-51.4999175518354
475,"Planning",9,-20.2457726502541
476,"Equality",0,-56.1449216253556
476,"Equity",1,-52.3094772611993
476,"Exploitation",0,-56.1449216253556
476,"General",1,-51.7439108325692
476,"Learning",3,-46.2041631418183
476,"Planning",1.5,-54.0737149422812
477,"Equality",0,-56.1449216253556
477,"Equity",1,-53.5494772611993
477,"Exploitation",0,-56.1449216253556
477,"General",1,-53.6039108325693
477,"Learning",2.5,-48.04736356987
477,"Planning",0,-56.1449216253556
478,"Equality",0,-56.1449216253556
478,"Equity",3,-40.8206287894951
478,"Exploitation",0,-56.1449216253556
478,"General",0,-56.1449216253556
478,"Learning",1,-53.8803731994091
478,"Planning",10,-12.155991320922
479,"Equality",0,-56.1449216253556
479,"Equity",2,-45.3340675263042
479,"Exploitation",0,-56.1449216253556
479,"General",0,-56.1449216253556
479,"Learning",1,-54.1503731994091
479,"Planning",8.5,-22.292784824251
480,"Equality",0,-56.1449216253556
480,"Equity",2.5,-41.5551326341326
480,"Exploitation",0,-56.1449216253556
480,"General",0,-56.1449216253556
480,"Learning",2,-51.2399175518355
480,"Planning",7.5,-25.689650081113
481,"Equality",0,-56.1449216253556
481,"Equity",2.5,-42.3551326341326
481,"Exploitation",0,-56.1449216253556
481,"General",0,-56.1449216253556
481,"Learning",1,-54.2903731994091
481,"Planning",10,-7.25599132092199
482,"Equality",0,-56.1449216253556
482,"Equity",2.5,-41.2301326341326
482,"Exploitation",0,-56.1449216253556
482,"General",0,-56.1449216253556
482,"Learning",1,-54.0403731994091
482,"Planning",10,-3.75599132092199
