Planning,Exploitation,Learning,Equity,Equality,General
0.999369386862391,4.47020415852187e-05,0.000585285792827306,7.61351107773418e-10,1.70968040300362e-11,6.24524748207475e-07
0.999927802612704,1.35572361883654e-08,6.69137424945791e-05,5.26293010884967e-06,5.32590612356943e-10,6.62486544648971e-09
1.58509453287465e-07,1.00471468820487e-05,0.999989788611826,2.31273729846465e-09,5.19345358023342e-11,3.36716722870216e-09
0.999999855133834,8.7685588560921e-08,5.01381613221949e-08,1.02016328919085e-10,2.29086575902425e-12,6.93810871017938e-09
0.00173704534259564,5.63544307094887e-05,0.995400122461125,0.00231319655817349,2.21386131683321e-06,0.000491067346079677
0.999997721399188,2.21717170384209e-06,6.12387578604453e-08,1.4622269300405e-10,3.28355827096055e-12,4.08440014264523e-11
0.99999996667639,2.8342432324419e-08,4.97861972627637e-09,1.96502143951216e-12,4.41262725215041e-14,5.48884286218288e-13
0.999825772491555,6.40640481585588e-05,0.000110163367649188,7.1161987334018e-11,1.59800457294363e-12,1.98774913282394e-11
0.99994257265793,5.74204129326112e-05,6.92470390358214e-09,3.40568386310002e-12,7.64776054059489e-14,9.51300743439664e-13
0.172696227122957,9.41939111283587e-07,0.00959909937984735,0.81770323426736,3.70037020164924e-08,4.60287021951799e-07
0.999999999999984,8.60183245461879e-17,1.61038423957795e-14,2.03781982953718e-21,4.57610239459815e-23,5.69218869619396e-22
0.999803443584493,2.44709494161494e-05,0.000137337238186137,1.82742018268488e-05,4.10363161291864e-07,1.60636629161873e-05
0.999990940592145,1.27518357764401e-07,8.89877407681366e-06,2.54385054778349e-08,5.71243856521686e-10,7.10567103284526e-09
1.83941501609454e-07,9.99604057807009e-08,0.999952204012951,1.47461098349532e-09,3.3113677445205e-11,4.75105774171115e-05
0.999999997436776,8.01763788078473e-10,1.7614544256242e-09,1.35545096111882e-15,3.04378350776228e-17,3.89531370619685e-15
0.999922104460311,7.08106377435252e-05,6.87370868660082e-06,3.3117277803176e-11,7.43677395131172e-13,2.11159397764841e-07
0.999559905236973,1.77918366002691e-06,0.000438313283145292,1.76390476801309e-09,3.96100220232965e-11,4.92706893716267e-10
0.285737867874208,8.63120788107491e-05,0.714175812658596,1.8135563051361e-09,4.07249906511937e-11,5.53410432183378e-09
0.999965859274341,3.18917921833035e-09,3.41287294449133e-05,7.83669642649269e-09,7.22034781067227e-11,8.98135108143853e-10
0.999998980273769,3.63923675777428e-08,9.83291987169252e-07,2.52313498384044e-12,5.66591995724612e-14,3.92967640102664e-11
0.184714325556894,0.00854218080090477,0.0292415169185978,0.0100060386226599,0.000224694335769589,0.767271243765174
0.998583571515969,1.07049967266317e-09,0.00141642727481211,1.06560787845815e-10,2.39291555300181e-12,2.97653454560423e-11
0.999999999025663,7.0402512010788e-10,2.70301541575486e-10,1.55913972868813e-15,3.50118442393568e-17,8.66918009623395e-15
0.999999996760486,7.62571694449842e-13,3.23593269619385e-09,2.54211150434392e-12,2.05665482224463e-14,2.55826166498657e-13
0.0152853133777036,0.00073284490594172,9.96018384403978e-06,4.26521289838692e-08,9.57790805392847e-10,0.983971837922591
0.0109869292365829,0.0259926964603567,0.963014456989873,4.6660176434377e-08,1.04779501121166e-09,5.86960521668536e-06
0.999999874080679,4.7121073930862e-09,1.19850322752705e-07,4.90647189458674e-10,1.10179111324803e-11,8.55225622135487e-10
0.00683766391348062,3.88992200399687e-05,0.986715545149983,1.0370630835635e-05,2.32881572318496e-07,0.00639728820408824
0.999999999918552,3.26648447704839e-14,8.14132598661746e-11,1.55913973008026e-15,3.50118442706185e-17,4.35510412584679e-16
0.714743544499474,0.00231965814811441,0.0330377021258592,0.248674446556573,9.11268444687312e-05,0.00113352182551039
0.999999603214487,1.92759503807725e-09,3.94857903648774e-07,8.2593722537463e-15,1.85471417052752e-16,5.82650897146084e-15
0.996476024686476,0.00351314425223888,1.00704329349036e-05,5.84297232233447e-07,1.31209046296689e-08,1.63210213794613e-07
0.987232670566308,0.00187859532778225,0.00801754886900055,0.000230699133323035,5.18055051349177e-06,0.00263530555307257
0.996241361984805,1.22593861345245e-05,0.0037463776405716,2.49976599963342e-10,5.61344286234348e-12,7.32898572041465e-10
0.999997008036432,8.28233446365454e-09,2.9836544109558e-06,2.06043083536749e-11,4.62687738285991e-13,5.75534742589681e-12
0.00463352048155807,0.00147258931511718,0.993893890183929,1.48988958135075e-11,3.34567717031904e-13,4.16166950120805e-12
0.999999999999994,3.09376923189734e-16,6.16604669020839e-15,4.11428727884019e-22,9.23899139456371e-24,1.1492330775301e-22
0.999870924558866,0.000116737578202247,1.23376136110007e-05,1.91522242175681e-10,4.30079920872097e-12,5.3497405716664e-11
0.99999994292311,1.83260472684816e-09,5.48343677820764e-08,1.67717969785112e-12,3.76625348338622e-14,4.08203261277193e-10
